name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
퀸,T,2.42478355,13.54574899,1.508097166,0.210526316,151.0720648,1.32388664,652.8676113,3.106477733,11772.84413,17779.84615,996.4441296,1370.663968,12690.25344,20286.16356,125816.6449,20530.1919,0,0,27.07125506
클레드,T,1.737565626,8.756132756,1.985569986,0.267436267,139.7099567,1.33958634,7.326599327,3.217893218,11203.01251,15662.44637,1968.07696,3837.256854,20937.51611,18176.75806,112628.557,33805.67917,0,0,8.898989899
키아나,T,2.762075134,10.19626168,0.962616822,0.140186916,129.317757,1.38317757,17.77570093,2.841121495,10788.39252,16760.1028,1477.626168,1458.252336,13178.42991,19116.71028,105775.243,21631.72897,0,0,18.6635514
킨드레드,T,2.75,21.30864198,1.333333333,0.265432099,139.0987654,1.314814815,484.6790123,2.432098765,10976.16667,14668.82716,2905.537037,6893.969136,14031.90123,18845.9321,126826.8642,22046.98765,0,0,3.882716049
타릭,T,0.915151515,5.601941748,0.631067961,0.058252427,105.631068,0.86407767,5.922330097,0.922330097,8406.718447,3064.854369,6034.048544,10622.36893,14167.21359,9367.601942,68488.12621,24477.48544,0,0,31.0776699
탈론,T,2.895411606,14.6,0.783606557,0.075409836,129.0098361,1.380327869,439.347541,3.163934426,10570.2,17240.06885,139.2393443,3298.344262,14556.44262,18392.16393,109337.6459,23761.47213,0,0,4.249180328
탈리야,T,2.470588235,29.625,1.25,0,143.375,1.25,23.375,2.25,12360,826.5,22158.625,1271.625,13965.125,23947.875,141047.75,23160.375,0,0,16.375
탐 켄치,T,1.424778116,4.957821886,1.013841734,0.125881431,132.4155132,1.19717942,7.160224602,3.074431967,10278.68908,3072.861713,13709.88757,9507.212327,17782.77879,17146.79864,87635.24615,29781.49491,0,0,39.07848002
트런들,T,2.471390581,11.53096647,2.882051282,0.577120316,154.1104536,1.218934911,428.8587771,2.540828402,11529.52189,12923.18935,2121.575542,9757.678895,18398.48994,15561.90335,127967.8907,29220.06627,0,0,16.98974359
트리스타나,T,3.587664588,17.80913978,2.556451613,0.39516129,158.9112903,1.352150538,567.6236559,3.185483871,12083.71505,14460.04032,2508.887097,1702.365591,12287.23387,18595.08333,148504.5995,19654.14785,0,0,5.02688172
트린다미어,T,3.3369947,20.46025,2.55975,0.4645,169.90425,1.45475,809.42925,3.2975,12568.37575,16162.53525,816.47525,7875.173,19735.316,17808.82425,162531.2005,29655.0065,0,0,7.9845
트위스티드 페이트,T,1.840748441,9.598984772,1.192893401,0.195431472,132.7817259,1.088832487,213.2284264,1.888324873,10420.5533,4241.121827,8940.068528,1949.829949,11246.17005,13968.23858,110744.7234,18642.5203,0,0,30.54314721
트위치,T,2.509661836,12.32876712,1.287671233,0.205479452,132.2328767,1.410958904,356.1369863,2.698630137,10992.86301,12748.61644,1424.684932,1172.520548,12183.49315,18336.0411,110751.6849,18949.56164,0,0,7.452054795
티모,T,2.598267561,15.1705915,1.90857748,0.324038122,164.00237,1.295496949,4.29897635,2.599969744,11886.58651,2873.637386,17907.35908,1279.507438,12239.94993,22828.6036,133863.2991,20796.07599,0,0,36.3985679
파이크,T,2.79739508,1.721518987,0.316455696,0.025316456,65.01265823,1.398734177,19.96202532,3.044303797,9144.525316,8021.683544,29.92405063,2851.936709,9483.196203,10341.40506,37884.36709,15861.44937,0,0,18.65189873
판테온,T,2.525070197,6.608205128,0.981538462,0.124102564,118.8666667,1.278974359,59.53846154,2.991794872,10008.90769,15870.83385,644.6676923,2488.70359,12776.57949,17318.98154,94678.30462,20900.94051,0,0,20.49846154
피들스틱,T,1.655032468,9.35625,0.6625,0.09375,124.6375,1.325,0.65,2.55625,10363.9375,609.95625,19147.36875,8044.48125,15469.35,20536.26875,101738.6875,25578.3875,0,0,58.90625
피오라,T,2.963423898,9.19064044,2.127808334,0.340262888,154.8610982,1.336161089,524.3335509,2.935583108,11293.2586,12076.37774,1179.61816,7907.374942,18892.86026,18161.53939,117737.5539,29100.25413,0,0,9.702619558
피즈,T,2.599634369,5.101449275,1.106280193,0.106280193,143.5990338,1.357487923,3.594202899,3.516908213,11032.41063,3842.280193,13095.31884,1981.772947,13024.24638,17799.98551,95932.52657,21573.08696,0,0,11.72463768
하이머딩거,T,2.293683075,6.77167382,1.527038627,0.266094421,160.9639485,1.224463519,0.363948498,2.031330472,11094.40815,876.8317597,21738.36481,1207.436052,10237.80386,23051.08283,132434.3416,17483.90644,0,0,18.97038627
헤카림,T,1.950456323,13.28346457,1,0.118110236,121.6929134,1.181102362,56.88188976,2.078740157,9939.84252,11270.33071,2270.748031,7798.598425,16983.28346,14365.3622,100514.2992,27844.88189,0,0,15.70866142
