name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,2.75862069,13.21052632,1.578947368,0,144.7368421,1.368421053,212.5263158,3.263157895,10770.73684,10261.15789,167.2631579,1303,14372.10526,13954.63158,113859.4737,23341.94737,0,0,26.63157895
갈리오,A,1.264367816,7.571428571,0.571428571,0.285714286,111,1.428571429,0,3,11169.14286,332.7142857,16667.57143,2462.714286,19461.28571,17452.71429,93653.71429,28734.14286,0,0,34.85714286
갱플랭크,A,1.243902439,3.75,0.875,0.125,109.625,0.875,585,1.25,7218.5,6836,1491,2754.125,8117.625,9309.25,76669.125,12899.75,0,0,5.25
그라가스,A,1.03125,10,0,0,134.6666667,1,0,1.666666667,9948.333333,1757.666667,17807.33333,8328.666667,13954,19895.66667,106934.6667,24866.66667,0,0,50.66666667
그레이브즈,A,2.182278481,17.17333333,1.426666667,0.16,160.2,1.373333333,336.32,2.906666667,10602.97333,14985.58667,767.3733333,2493.573333,11262.2,16170.96,133010.72,19101.65333,0,0,14.32
그웬,A,3.454545455,6.444444444,0.666666667,0.222222222,114,1.111111111,0,1.111111111,7274.666667,2140.111111,4646.777778,2168,9008.111111,10033.44444,73275,16916.44444,0,0,3.444444444
나르,A,1.603773585,8.444444444,0.777777778,0.222222222,132.7777778,1.222222222,116.8888889,2.222222222,9116,11872.11111,1711.777778,3042.666667,11017.44444,13906.44444,96055.55556,19284.11111,0,0,22.66666667
나미,A,#DIV/0!,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0
나서스,A,1.972972973,4.625,1.25,0,126.25,0.75,0.25,1.375,8430.25,5545.375,4391.5,1115.5,14069.125,10119.625,94122.5,22012.5,0,0,10.25
노틸러스,A,1.631578947,16,1,0,93,1.5,0,2,10528.5,9133.5,5077,2870.5,11327,14716,73081.5,19415,0,0,60
녹턴,A,6.75,1,0.125,0,33.375,0.375,0,0.75,2683.375,2499.25,236.375,707.5,2764,2821.75,19720.75,3876.875,0,0,16
누누와 윌럼프,A,2.407407407,16.05882353,0.352941176,0.117647059,55.29411765,0.823529412,0.823529412,1.647058824,7311.352941,441.8823529,8464.823529,6387.764706,11617.76471,9454.352941,61300.88235,19545.88235,0,0,18.17647059
니달리,A,2.209302326,15.77777778,0.777777778,0.333333333,116,1.444444444,266.2222222,2.333333333,9172.222222,2124.333333,9358.333333,4454.111111,11402.22222,11883.88889,83243.55556,18675.66667,0,0,1.111111111
니코,A,1.443579767,12.2,1.866666667,0.2,161.7333333,1.533333333,80.6,3.4,11380.36667,3462.733333,13446,1903.933333,10572.23333,17489.33333,125726.4333,17609.53333,0,0,33.03333333
다리우스,A,3.344444444,11.30769231,1.384615385,0.269230769,132.9230769,1.192307692,17.34615385,2.307692308,9833.307692,11904.57692,213.9615385,4902.884615,13981.42308,14778.65385,108542.6923,24510.07692,0,0,17.11538462
다이애나,A,1.82,12.42857143,2,0.142857143,147,1.428571429,0,2.714285714,11842.14286,1839.142857,17660,1338.857143,12125.28571,20162.71429,136569.1429,18306.57143,0,0,7
드레이븐,A,2.404007177,12.95215594,1.558771412,0.246308328,171.5640874,1.61252215,862.5764914,3.535144714,12680.15475,18470.5635,272.3349084,1791.39811,12466.08151,19258.76314,138251.0845,20294.70348,0,0,9.509746013
라이즈,A,1.735973597,14.58333333,1.0625,0.0625,167.4583333,1.104166667,0,1.9375,10726.72917,812.1458333,15209.64583,2287,14017.95833,16267.4375,141340.9375,22960.4375,0,0,23.79166667
라칸,A,1,0,0,0,125,1,0,0,9563,1796,17251,6582,15085,19906,69185,23524,0,0,28
람머스,A,1.442857143,6.285714286,0.857142857,0,104.8571429,0.857142857,40.14285714,1.714285714,9592.142857,2554.428571,14488.71429,1680.571429,15738.14286,18480.28571,87668.14286,29291.85714,0,0,42.71428571
럭스,A,1.310107198,5.331081081,0.966216216,0.168918919,154.9527027,1.277027027,1.993243243,3.027027027,10838.77703,1053.52027,16748.19595,1130.135135,7484.277027,18317.77027,114678.5,12883.27703,0,0,37.48648649
럼블,A,1.721590909,13,0.571428571,0.142857143,149.1904762,1.476190476,0,2.619047619,11242.38095,722.8571429,22032.09524,1815.761905,13277.19048,23256.04762,115779.9048,23748.90476,0,0,16.0952381
레넥톤,A,1.623529412,6.538461538,1.538461538,0.230769231,136.4615385,1.076923077,3.076923077,3,10463,12992,1626.769231,7476.461538,17736.92308,15474.23077,105410.6154,29451.53846,0,0,19.07692308
레오나,A,#DIV/0!,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0
렉사이,A,2,0,2,0,122,1,0,3,7724,7175,128,3183,8063,8366,72621,12648,0,0,10
렝가,A,3.601694915,15.58333333,1.5625,0.270833333,133.4583333,1.645833333,486.8541667,3.875,12003.60417,17589.16667,1827.729167,4915.604167,14880.27083,20338.77083,110236.9375,24957.35417,0,0,9.854166667
루시안,A,2.201448232,13.89636153,1.368492355,0.200309657,177.9731953,1.593187536,538.6121541,3.51132185,12030.1468,15954.02303,2622.515096,1825.27424,11193.14593,19144.60964,137706.3355,18421.91591,0,0,1.986839559
룰루,A,1.257425743,0.9,0.8,0.2,129.5,1.2,57.5,3.5,10111.8,2845.9,10372.8,1392.2,11416.2,13986,81792.1,19570.4,0,0,30
르블랑,A,1.79787234,6.272727273,0.272727273,0,114.5454545,1.545454545,0,3.636363636,11182,1580.363636,19731.90909,3003.090909,12543.09091,22089.90909,82092.18182,22452.54545,0,0,18.09090909
리 신,A,2.4375,19.92307692,0.692307692,0.038461538,129.5769231,1.615384615,156.5769231,2.884615385,11644.57692,14099.88462,2686.769231,2760.807692,15612.42308,17402.84615,115062.4615,26228.84615,0,0,17.15384615
리븐,A,2.424242424,12.85714286,0.571428571,0,112.8571429,1.285714286,78.14285714,1.571428571,8707.285714,12919.71429,53.42857143,3277.571429,15433.28571,13360.85714,98081.57143,23892.14286,0,0,23.57142857
리산드라,A,1.132743363,6.1,0.4,0.1,158.6,1.4,0,3.7,11136.7,1059.3,17696.9,2119.5,10288,19162.4,117418,18025.3,0,0,42
릴리아,A,2,7.5,0.5,0,122.75,1,0,2.5,9793,1032.5,12253.25,4188.75,15230.25,17142,91023,21223.75,0,0,13
마스터 이,A,4.040650407,10.16666667,1.166666667,0.166666667,103.4166667,1.694444444,278.8611111,2.638888889,9241,9531.555556,452.5,1927.305556,10664.69444,14991.47222,96488.25,18506.52778,0,0,1.611111111
마오카이,A,0.733766234,5.666666667,0.25,0.125,132,1,6.833333333,1.166666667,10126.95833,1850.625,11638.625,7563.291667,15718.16667,14078.91667,89340.16667,26737.20833,0,0,69
