name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,0.6,0,1,0,104,1,274,0,6418,3893,0,140,6796,4237,50482,9240,0,0,11
갈리오,A,9,0,2,0,116,1,0,2,9533,283,7412,536,10471,8162,59266,14239,0,0,27
그레이브즈,A,0.666666667,6,1.5,0.5,130.5,0.5,194,0,6649,6952,390,1276.5,7178.5,7343,74275,10533.5,0,0,9.5
나서스,A,0,0,0,0,3,0,0,0,747,173,320,0,813,494,2724,1253,0,0,0
노틸러스,A,1.444444444,0,0,0,129,1,21,0,9891,2037,7779,0,12000,12243,62254,25876,0,0,75
니코,A,0.92,2.666666667,1.333333333,0,171,0.666666667,0,1.333333333,9739.333333,1315.666667,12834,1614.666667,12311,14210,120192.3333,20972.33333,0,0,31.66666667
다리우스,A,1.25,2,1,0,121,1,0,3.5,7285.5,5495,0,681,7298,6289.5,63756,9911.5,0,0,10.5
드레이븐,A,2.397510373,13.94930876,1.783410138,0.221198157,174.8571429,1.612903226,856.0092166,3.539170507,12643.82949,16999.46083,213.6129032,1202.428571,10969.01382,17705.16129,136395.3318,17594.8341,0,0,9.00921659
라이즈,A,19,20,0,0,174,2,0,4,10323,674,9482,1690,9634,10527,116129,13524,0,0,23
라칸,A,2.333333333,0,0,0,49,1,0,0,6137,1303,4190,2344,11402,6394,22026,16648,0,0,23
럭스,A,5.666666667,1.75,1.25,0,138.75,1,0,2.75,9609.25,676.5,13595,919.5,5394.25,15034.75,90364,8797.75,0,0,26.75
렝가,A,1.176470588,4,1,0,127,1,0,3,8299,7460,982.6666667,4403.333333,11404.33333,9031.666667,71589.33333,17067.33333,0,0,11
루시안,A,2.369839933,13.13908873,1.381294964,0.177458034,171.9040767,1.589928058,544.0767386,3.342925659,11208.2494,13799.96643,2865.570743,908.3189448,10004.64748,17209.2446,126737.7866,15596.16067,0,0,2
르블랑,A,4.8,10,2,0,159,2,0,4,13539,1186,23163,5246,16760,25176,126657,25002,0,0,17
리산드라,A,1.25,6,0,0,184.5,1,0,0,10990,1047,12618.5,3004,15448.5,13899,125916.5,26280,0,0,38
마오카이,A,3,0,0,0,89,0,0,0,4898,319,2066,1602,5012,2649,26444,8115,0,0,17
말파이트,A,0.181818182,0,0,0,52.5,0.5,0,0,3549,1305.5,3046.5,694,3259,4352.5,21369,7587.5,0,0,9
미스 포츈,A,2.402181818,10.69411765,1.384313725,0.156862745,172.3137255,1.533333333,661.145098,2.898039216,11030.00392,14437.81961,1335.835294,1071.839216,9051.062745,16550.77647,116347.749,14146.57647,0,0,7.941176471
바루스,A,2.694779116,13.02173913,1.543478261,0.195652174,189.326087,1.760869565,317.8913043,3.565217391,12462.5,13130.26087,3611.826087,1930.195652,9836.869565,17093.26087,135166.8913,15891.91304,0,0,22.7826087
베이가,A,1.130434783,0,0.4,0,121.6,1.2,0,1,6287,630.2,6087.2,114.2,5554,6761,59333,8880.2,0,0,12.2
베인,A,2.139784946,12.19298246,1.263157895,0.149122807,159.9298246,1.807017544,367.7368421,3.342105263,10961.44737,10788.32456,615.8245614,1581.561404,10130.09649,15439.10526,103436.9825,15701.90351,0,0,7.859649123
벡스,A,5.125,4,1.5,0.5,160,2,0,6,11712.5,1254,15956.5,2207.5,6700.5,17857,119284,13811.5,0,0,33.5
벨코즈,A,5.666666667,6,1,0,198.5,1.5,0,4,12941.5,676,15182,3385,8748,21233,139510.5,14492,0,0,22.5
브랜드,A,1.454545455,16,1,0,171,1,0,3,13082,693,23411,529,11587,24792,147428,25694,0,0,39
블리츠크랭크,A,1.333333333,0,0,0,22,0,0,0,3961,1379,2143,378,4309,4065,13291,10840,0,0,16
사미라,A,2.221491228,10.42763158,1.309210526,0.210526316,169.9342105,1.855263158,498.3684211,3.440789474,11171.79605,13276.60526,2110.822368,1167.401316,11186.70395,15720.20395,111413.1184,17192.625,0,0,3.276315789
사일러스,A,1.208333333,4,0,0,123.5,1.25,329.25,2.25,11102.75,709,21462.75,8226.75,20959.75,22817.75,87219.75,33922.75,0,0,25.75
세나,A,2.773722628,2.3,0.8,0.033333333,130.2,1.3,367.7,1.8,9288.3,11945.26667,63.03333333,7012.333333,7872.333333,12558.36667,65705.86667,13033.56667,0,0,18.9
세라핀,A,2.281818182,4.181818182,0.681818182,0.136363636,160.0909091,1.409090909,0,1.818181818,9233.772727,1095.545455,8761.681818,2335.363636,7640.909091,9921.590909,97809.90909,12134.27273,0,0,17.22727273
스웨인,A,3.818181818,5.34375,0.71875,0.09375,147.625,1.65625,0,3.71875,10686.75,1218.53125,15784.625,5607.09375,10401.3125,17424.28125,99750.46875,18593,0,0,34.0625
시비르,A,2.116883117,9.071428571,1.5,0.357142857,183.4285714,1,153.7857143,2.5,10634.28571,16313.57143,152.7857143,1936.642857,10218.92857,16834,137371.3571,15800.64286,0,0,1.571428571
신드라,A,2.465968586,4.210526316,1.052631579,0.131578947,173.2631579,1.289473684,0,2.5,10491.65789,1000.947368,16106.26316,1098.947368,7757.526316,17203.13158,112947.3158,12416.28947,0,0,26.47368421
아크샨,A,2.333333333,7.4,0.8,0,137.2,1.6,310.4,4.4,10199.6,10927,2304.8,982,10777,13734.8,91232.2,15953.4,0,0,1.8
