name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,1.5,6,2,0,156,1,236.5,0,9323,6811,0,1015,13670.5,8276.5,110428.5,21932.5,0,0,16
갈리오,A,0.733333333,2,1,0,111.25,1,6.5,2,9202.25,239.75,10579.75,1749.5,16116,11322.5,79678.25,21722.25,0,0,39.25
갱플랭크,A,2.333333333,2.666666667,0.333333333,0,134.3333333,1,748.6666667,2.333333333,7598,6123,2197,2511.666667,6116.333333,9433.666667,83096.33333,10800,0,0,4.666666667
그라가스,A,4.142857143,2,0.5,0,119.5,1.5,0,3.5,9465.5,1289.5,15038,5368.5,11412.5,16709,77636,20394,0,0,39
그레이브즈,A,2.352941176,10.38461538,0.769230769,0.153846154,138.4615385,1.230769231,242.1538462,1.307692308,8392.076923,10142.07692,494.5384615,2012.461538,8936.692308,10799.46154,95514.07692,15065.92308,0,0,10.84615385
그웬,A,1.259259259,20.75,1.25,0,151.5,1,0,1.75,10728.25,3370.5,10055,3941.5,12499.75,18994.75,126098,24655,0,0,6.5
나르,A,4.571428571,16.5,2,1,165,2.5,0,3.5,12024,16029,2917.5,5056.5,20636,19727.5,145362,28499.5,0,0,22
녹턴,A,3,16,0,0,124,2,0,2,10583,11959,1079,2718,16039,13990,90040,22056,0,0,128
누누와 윌럼프,A,5,0,0,0,11.5,0.5,0,0,1591.5,153.5,176.5,1.5,1521,346.5,4556.5,1748.5,0,0,1
니달리,A,0.636363636,0,1,0,59,1,326,2,6760,2856,2970,3035,8155,6473,39609,11392,0,0,1
니코,A,2.384615385,1.666666667,0,0,98,1,83.33333333,0.666666667,7170,1930.333333,6308,1083,5878,8591,66027.33333,14093.66667,0,0,12
다리우스,A,2.214285714,0.25,0.75,0,122.5,2,0,3.5,10740.25,13661.25,335.5,6477.75,16579,16279.75,89662,28004.5,0,0,21
다이애나,A,1.8,8,2,0.5,161,1,0,1,12498,2554.5,19543.5,1062.5,15228,25476.5,144210,30475,0,0,12.5
드레이븐,A,2.348644578,13.89427313,1.709251101,0.226872247,171.530837,1.658590308,859.7004405,3.640969163,12542.46696,17830.27093,344.6894273,1581.486784,11427.93392,18687.31278,135616.3877,18322.13656,0,0,9.156387665
라이즈,A,1.284313725,17.42857143,1.214285714,0.142857143,186.2142857,1.357142857,0,2.357142857,11533.14286,830.2857143,14816.14286,2777.428571,13904.28571,15935.28571,160723,20676.78571,0,0,17.14285714
람머스,A,0.923076923,0,1,0,139,1,45,0,9537,2602,12902,1005,16570,16246,82697,27482,0,0,29
럭스,A,1.36637931,6.793103448,0.517241379,0.034482759,163,1.413793103,0,2.724137931,10288.65517,981.3448276,13834.65517,847.6551724,7631.965517,15171.72414,118314.3793,11909.44828,0,0,35.27586207
럼블,A,6.666666667,1,0,0,81.33333333,0.666666667,0,1.333333333,4548.333333,668.3333333,5227.666667,324.3333333,4755.666667,5929.666667,39479,9076.333333,0,0,6.333333333
레넥톤,A,7.5,0,0.5,0,127,1,0,1,8518,13760.5,1106.5,3954.5,21462.5,15077,88779.5,27465,0,0,16.5
렝가,A,2.290322581,7.75,1.416666667,0,131.25,2.333333333,151.4166667,5.5,12372.66667,17684.25,4147.166667,11122.25,16813.16667,23187.91667,99063,30355.16667,0,0,17.91666667
루시안,A,2.10006819,12.3578613,1.249338274,0.169931181,173.201694,1.545262043,524.6082583,3.18634198,11347.04341,14418.50609,2369.081525,1345.361567,10160.25357,17360.84013,127570.4473,16517.55638,0,0,1.913181578
룰루,A,0.692307692,0,0.4,0.2,115.4,1.6,0,2,8968.4,1619.8,12160.6,442.4,8352.4,14324.2,73414.8,16508.4,0,0,30.2
르블랑,A,1.222222222,0,0,0,130,1,283,2,9688,5188,8678,2267,7190,14169,86649,19809,0,0,21
