name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,2.163101604,16.76190476,1.650793651,0.158730159,147.6984127,1.253968254,327.2539683,2.857142857,11572.14286,11905.4127,389.4285714,2247.063492,16359.30159,16380.60317,118654.127,26349.87302,0,0,26.95238095
갈리오,A,1.955752212,5.642857143,0.5,0,119.7142857,1.142857143,0,1.714285714,9687.285714,466.7857143,13477.71429,1355.571429,16103.71429,14294,89380.57143,23364.57143,0,0,32.5
갱플랭크,A,1.9140625,6.421052632,1,0.157894737,149.7368421,1.210526316,1135.789474,1.789473684,11035.36842,11393.10526,2902.526316,4746.473684,12579.31579,16627.26316,128860.9474,20016.36842,0,0,8.684210526
그라가스,A,2.260869565,16,1.125,0,102,1.125,0,2.75,9556.375,904.125,12485.125,7151.375,12978.5,14179.625,86441.5,22344.5,0,0,25.75
그레이브즈,A,1.870357393,17.96638655,1.243697479,0.180672269,157.0966387,1.331932773,363.6764706,2.596638655,10833.2521,15345.94118,781.8739496,2725.852941,11399.12605,16631.21429,133390.8025,19570.77731,0,0,14.6302521
그웬,A,1.471428571,10.69565217,1.173913043,0.304347826,138.6086957,1.130434783,11.04347826,1.782608696,9511.913043,3615.478261,7445.869565,3235.913043,15227.52174,14850.82609,105198.6522,23416.91304,0,0,4.739130435
나르,A,1.365019011,14.51612903,1.129032258,0.096774194,138.7096774,1.225806452,179.9677419,1.967741935,10696.45161,14041.48387,2319.064516,3682.645161,16396.22581,16840.96774,120366.7097,27022.16129,0,0,28.32258065
나미,A,2.166666667,2,1,0.5,47,1,0,3,8341,1266.5,5964,4440.5,10452,7763.5,28109.5,13933,0,0,21
나서스,A,1.771929825,10.03448276,1.75862069,0.310344828,144.9655172,1.206896552,41.96551724,2.103448276,10569.06897,6795.62069,7310.172414,1911.862069,15446.58621,14651.86207,122893.3103,25973.55172,0,0,12.79310345
노틸러스,A,1.79245283,4.555555556,0.444444444,0,91,0.888888889,2.888888889,1.111111111,7978,1801.888889,6283.333333,942.7777778,10232.44444,8548.111111,64014.22222,16741.88889,0,0,44.44444444
녹턴,A,1.651162791,9.666666667,0.291666667,0,56.16666667,0.75,0,1.416666667,5125.791667,6024.583333,712.8333333,2820.291667,7029.583333,6950.75,49749.79167,11197.25,0,0,57.625
누누와 윌럼프,A,1.538,13.2173913,0.275362319,0.028985507,77.65217391,0.956521739,0,1.507246377,7921.028986,591.6956522,9093.594203,6588.101449,12336.37681,10127.86957,71633.98551,20241.81159,0,0,23.68115942
니달리,A,1.962264151,12.92307692,0.653846154,0.038461538,117.2307692,1.230769231,34.07692308,2.615384615,9393.653846,2476.576923,11987.03846,5495.923077,12150.5,14746.03846,87351.11538,19768.07692,0,0,1.076923077
니코,A,1.796976242,10.60606061,1.166666667,0.196969697,146.0606061,1.257575758,77.63636364,2.5,10696.68182,2497.5,13261.60606,1829.242424,10827.07576,16353.43939,112795.803,19189.62121,0,0,31.09090909
다리우스,A,1.765625,8.525641026,0.987179487,0.076923077,119.2051282,1.282051282,25.29487179,2.307692308,9005.076923,10946.69231,82.93589744,3800.448718,12112.01282,12844.21795,86414.11538,20589.42308,0,0,16.53846154
다이애나,A,1.403508772,17.30769231,0.769230769,0.153846154,135.7692308,1.230769231,0,2.307692308,10769.53846,1808.307692,15667.84615,1389.076923,12797,18239.92308,117403.1538,21988.30769,0,0,6.846153846
드레이븐,A,2.057012732,12.61158846,1.452522582,0.220533157,165.8292575,1.580304032,844.3602115,3.411764706,12426.52765,18326.23948,247.40141,1872.502093,12849.12227,19055.25094,134302.0571,20927.46023,0,0,9.834545054
라이즈,A,1.828153565,15.87790698,0.970930233,0.127906977,170.872093,1.261627907,0,2.069767442,11051.37209,787.0697674,15624.36628,2543.686047,13800.83721,16611.37791,147583.186,22579.0814,0,0,24.51744186
라칸,A,0.666666667,0,0,0,0,1,0,0,2429,347,117,189,1687,465,1153,2446,0,0,2
람머스,A,1.548387097,1.2,0.1,0,67.4,0.6,12.2,1.1,6128,1641.8,5160.1,1424.8,10952.8,7274.5,39592.9,17750,0,0,29.8
럭스,A,2.608382859,6.034050179,0.770609319,0.107526882,145.7777778,1.265232975,0.564516129,3.014336918,10725.60573,1015.023297,17616.17921,1330.143369,7816.200717,19087.85125,113298.9606,13434.96416,0,0,39.2078853
럼블,A,1.598726115,9.157894737,1,0,139,1.368421053,0,2.368421053,10608.47368,774.1052632,17771.57895,1983.842105,15263.52632,19408.52632,110682.1053,24183.31579,0,0,14.78947368
레넥톤,A,2.189655172,9.016949153,1.169491525,0.13559322,157.4576271,1.355932203,16.76271186,3.084745763,11345.54237,13804.61017,1702.966102,7148.237288,18178.62712,16367.84746,123453.9322,30968.88136,0,0,19.77966102
레오나,A,3.303030303,12,0.857142857,0.285714286,95.57142857,0.857142857,46.28571429,3.142857143,8796.714286,7323.142857,4558.714286,3439.142857,10566.57143,12836.57143,63677.42857,23391.42857,0,0,42.28571429
렉사이,A,1.65,7.111111111,0.777777778,0.111111111,102.7777778,1.222222222,264.3333333,3.333333333,9251,10524.44444,34.44444444,2883.666667,8976.555556,13463.55556,82099.66667,18176.33333,0,0,16.88888889
렝가,A,2.072805139,12.82170543,1.302325581,0.23255814,136.3488372,1.527131783,316.620155,3.875968992,11967.51938,16889.53488,2044.093023,5477.03876,16522.10078,19818.77519,107822.2636,26575.31008,0,0,11.37209302
루시안,A,2.25614168,14.19521779,1.371121409,0.203892493,175.4648007,1.587914736,533.3577386,3.522594995,12079.85753,15996.87648,2519.494124,2105.296867,11461.18172,19061.37487,137795.0283,18924.14391,0,0,1.753883225
룰루,A,1.918478261,8.666666667,0.458333333,0.125,128.7083333,1.041666667,150.9166667,1.541666667,9804.333333,4626.75,6764.458333,1987.5,10747.70833,12017.83333,88936.58333,18982.58333,0,0,24.95833333
르블랑,A,2.141203704,6.138461538,0.646153846,0.138461538,121.6307692,1.323076923,3.369230769,2.907692308,10582.90769,1457.846154,14646.26154,2787.492308,13153.66154,16822.16923,81248.38462,21856.96923,0,0,14.24615385
리 신,A,1.971365639,10.32307692,0.676923077,0.123076923,108.0769231,1.230769231,88,2.984615385,9768.153846,11632.27692,2621.738462,2961.723077,14820.92308,14793.83077,87085.4,24410.04615,0,0,15.84615385
리븐,A,2.016949153,14.85185185,1.148148148,0.148148148,150.9259259,1.37037037,170.8518519,3.407407407,11689.07407,15680.48148,130.4444444,3269.703704,15761.59259,16323.74074,121435.8148,25787.81481,0,0,24.14814815
리산드라,A,2.056939502,6.722222222,1,0.138888889,155.3888889,1.527777778,0,2.472222222,11416.61111,1051.916667,19117.11111,2422.583333,12753.11111,20924.33333,127420.3611,21964.83333,0,0,42.58333333
릴리아,A,2.741116751,16.55882353,0.823529412,0.117647059,159.9411765,1.676470588,0,4.323529412,11973.47059,869.5882353,16697.14706,6170.411765,13478.82353,22453.85294,139190.6176,23036.88235,0,0,22.52941176
