name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,2.231270358,11.625,1.482142857,0.303571429,131.3214286,1.428571429,328.375,3.553571429,10630.57143,11684.23214,301.9821429,1929.642857,14685.69643,15192.875,104363.6964,22806.75,0,0,28.08928571
갈리오,A,1.528301887,4.071428571,0.714285714,0.142857143,95.92857143,1,0,0.857142857,8312.857143,304.5,11521.64286,1495.142857,14657.64286,12192.28571,83782.92857,21012.64286,0,0,30.57142857
갱플랭크,A,1.911111111,14.375,0.9375,0.1875,146.25,1.5,921.8125,2.125,11190.75,10808.8125,2459.5625,4914.875,12039.125,15118.5,151973.625,19464.3125,0,0,7.25
그라가스,A,2.133333333,11,1,0,99,1,0,3.666666667,12819.33333,2352.666667,18662.33333,10588,20196.66667,21232.33333,93582,34891.66667,0,0,50.33333333
그레이브즈,A,2.100294985,20.64655172,1.137931034,0.120689655,154.0689655,1.362068966,305.2586207,2.862068966,11277.23276,15405.18103,1041.586207,2793.827586,11712.30172,16933.90517,134146.6466,19328.25862,0,0,15.54310345
그웬,A,1.731707317,13.42857143,1.571428571,0.285714286,105.2857143,1,0,1.428571429,8814.571429,2435.571429,7150,2662.857143,12679.14286,12763.28571,98192.57143,20360.85714,0,0,4.857142857
나르,A,2.21686747,16.08333333,1.666666667,0.333333333,143.25,1.333333333,281,3.666666667,12157.16667,19278.41667,2972.25,5425.833333,17955.66667,22896.91667,134475.8333,29359.91667,0,0,36.41666667
나미,A,1.576923077,2.5,0,0,47.5,0.5,87.25,1.25,5645,2921.5,4344.25,3830.25,7858.5,8262.75,29725.25,14027.75,0,0,20
나서스,A,2.152542373,8.590909091,2.045454545,0.363636364,151.7272727,1.454545455,41.31818182,3.545454545,10920.36364,9977.590909,7133.681818,2152.227273,15530.27273,17307.95455,132934.7273,27075.09091,0,0,14.40909091
노틸러스,A,1.694444444,8,0.166666667,0.166666667,57.33333333,0.666666667,0,0.833333333,6232.833333,2336,4339.666667,768.5,11109.16667,7027.5,50957.33333,15194.83333,0,0,42.83333333
녹턴,A,1.847058824,14.5,0.227272727,0,67.04545455,0.863636364,57.68181818,1.5,6273.090909,6156.681818,402.5454545,1468.863636,6291.636364,6970.136364,59712.22727,10388.04545,0,0,57.77272727
누누와 윌럼프,A,1.03125,11.64583333,0.229166667,0.041666667,63.20833333,0.791666667,11.54166667,0.979166667,7099.770833,800.4791667,7041.5,5706.270833,12467.54167,8172.854167,63390.39583,20214.58333,0,0,21.375
니달리,A,2.688073394,25.23809524,0.80952381,0,106,1.380952381,43.14285714,2.952380952,10742.19048,1744.857143,19994.33333,6987.238095,14335.95238,22631.14286,112203.1429,20777.71429,0,0,1
니코,A,2.168711656,6.690909091,1.054545455,0.163636364,117.4727273,1.272727273,12.47272727,2.763636364,9729.163636,1332.145455,13808.10909,1882.145455,10470.45455,15719.72727,94564.25455,16989.32727,0,0,36.25454545
다리우스,A,1.69273743,7.016129032,0.822580645,0.064516129,98.59677419,1.467741935,67.30645161,2.564516129,8491.032258,10057.79032,119.516129,2922.741935,11437.19355,12044.98387,71567.69355,18816.16129,0,0,15.38709677
다이애나,A,2.482758621,29.22222222,2.111111111,0.111111111,120.5555556,1.444444444,0,5,11343.88889,1955,18638,2131.444444,12857.22222,23191.11111,140003.6667,22867.11111,0,0,7.777777778
드레이븐,A,2.088658265,12.57277883,1.353497164,0.206994329,145.889414,1.541587902,789.5378072,3.620037807,11769.26371,17333.45274,161.6871456,2009.18242,12525.2448,17984.86484,123192.5028,20226.73346,0,0,9.84026465
라이즈,A,1.682634731,13.95945946,1.108108108,0.162162162,164.1216216,1.283783784,0.27027027,2.243243243,11238.67568,880.6081081,16870.56757,2732.108108,15154.17568,18245.7027,148942.473,23408.08108,0,0,24.48648649
라칸,A,3.357142857,3,0,0,63.2,1,0,1.4,9123.8,1364.6,11844.4,7349.8,7606.8,14810,57074.8,17314,0,0,26.8
람머스,A,1.8,6,0.333333333,0,87.66666667,0.666666667,24,0,8302,1842,10073,2743.333333,11795.66667,12125.33333,93586,23259.66667,0,0,31.33333333
럭스,A,2.450363196,4.231607629,0.626702997,0.136239782,115.9100817,1.196185286,8.021798365,2.828337875,9473.506812,954.7683924,16719.34332,1136.002725,7302.782016,18066.34605,95175.61853,12559.85286,0,0,39.92098093
럼블,A,1.157303371,11.3,0.5,0,118.1,1.2,0,1.3,9301.5,817.9,14209.9,1529.6,13530.4,15413.6,99567.4,22537.1,0,0,10.7
레넥톤,A,1.810344828,10.64,1.52,0.28,156.2,1.2,1.8,2.96,11959.96,14588.6,1564.68,7356.48,20399.4,17103.52,125763.28,35998.28,0,0,20.16
레오나,A,2.216216216,10.85714286,0.285714286,0,66.42857143,0.857142857,106.8571429,1,8025.714286,3744.714286,3452.857143,1298.428571,10126.14286,8745.428571,59215.85714,18160.71429,0,0,39.14285714
렉사이,A,3.68,7.571428571,0.714285714,0.142857143,115.2857143,1.571428571,266.1428571,3.428571429,10134.57143,14546.28571,9.857142857,3515.142857,11287.42857,17255.14286,88721.28571,17810.85714,0,0,18
렝가,A,2.537313433,25.375,1.1875,0.15625,119.59375,1.40625,448.46875,4.4375,11998.5625,18348.125,1603.40625,5172.90625,15380.6875,20643.84375,115190.25,23479.28125,0,0,11.84375
루시안,A,2.16148789,13.38310811,1.251351351,0.182297297,154.4848649,1.523513514,484.3510811,3.432567568,11403.90865,14638.86716,1874.810405,2231.014595,11203.63284,17053.2927,124140.2934,18338.13757,0,0,1.198378378
룰루,A,2.349206349,6.857142857,1.357142857,0.214285714,101.5,1.142857143,209.0714286,2,8283,3723.571429,3588,1405.428571,6861.928571,7797.785714,68445.78571,12091.64286,0,0,16.35714286
